NO.,Var,dtypes,description,Var Category
309,PA080,Numeric,ION_ORG_3MON,Call Detail
310,PA081,Numeric,HIGH_RISK_ORG_3MON,Call Detail
311,PA082,Numeric,ION_OR_HIGH_RISK_IN_CALLS_3MON,Call Detail
312,PA083,Numeric,ION_IN_CALLS_3MON,Call Detail
313,PA084,Numeric,HIGH_RISK_IN_CALLS_3MON,Call Detail
314,PA085,Numeric,ION_OR_HIGH_RISK_IN_CALLS_3MON,Call Detail
315,PA086,Numeric,ION_IN_CALLS_3MON,Call Detail
316,PA087,Numeric,HIGH_RISK_IN_CALLS_3MON,Call Detail
317,PA088,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_3MON,Call Detail
318,PA089,Numeric,ION_OUT_CALLS_3MON,Call Detail
319,PA090,Numeric,HIGH_RISK_OUT_CALLS_3MON,Call Detail
320,PA091,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_3MON,Call Detail
321,PA092,Numeric,ION_OUT_CALLS_3MON,Call Detail
322,PA093,Numeric,HIGH_RISK_OUT_CALLS_3MON,Call Detail
323,PA094,Numeric,ION_OR_HIGH_RISK_CALLS_3MON,Call Detail
324,PA095,Numeric,ION_CALLS_3MON,Call Detail
325,PA096,Numeric,HIGH_RISK_CALLS_3MON,Call Detail
326,PA097,Numeric,ION_OR_HIGH_RISK_CALLS_3MON,Call Detail
327,PA098,Numeric,ION_CALLS_3MON,Call Detail
328,PA099,Numeric,HIGH_RISK_CALLS_3MON,Call Detail
329,ym0001,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
330,ym0002,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
331,ym0003,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
332,ym0004,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
333,ym0005,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
334,ym0006,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
335,ym0007,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
336,ym0008,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
337,ym0009,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
338,ym0010,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
339,ym0011,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
340,ym0012,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
341,ym0013,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
342,ym0014,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
343,ym0015,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
344,ym0016,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
345,ym0017,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
346,ym0018,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
347,ym0019,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
348,ym0020,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
349,ym0021,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
350,ym0022,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
351,ym0023,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
352,ym0024,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
353,ym0025,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
354,ym0026,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
355,ym0027,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
356,ym0028,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
357,ym0029,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
358,ym0030,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
359,ym0031,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
360,ym0032,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
361,ym0033,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
362,ym0034,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
363,ym0035,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
364,ym0036,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
365,ym0037,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
366,ym0038,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
367,ym0039,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
368,ym0040,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
369,ym0041,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
370,ym0042,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
371,ym0043,Numeric,THIRD_PARTY_VARIABLE,Pty3rd
